step,avg_signal_dbm,station_1_devices,station_2_devices,station_3_devices
1,-47.07,0,0,14
2,-46.97,0,0,14
3,-46.91,1,0,13
4,-46.99,2,0,12
5,-46.88,1,0,13
6,-46.82,2,0,12
7,-46.8,2,0,12
8,-46.73,1,1,12
9,-46.57,2,0,12
10,-46.45,2,0,12
11,-46.37,1,0,13
12,-46.41,1,1,12
13,-46.62,3,1,10
14,-46.38,2,2,10
15,-46.3,2,1,11
16,-46.3,2,2,10
17,-46.24,3,2,9
18,-46.16,4,1,9
19,-46.15,3,1,10
20,-46.09,2,1,11
21,-46.01,3,1,10
22,-45.98,2,2,10
23,-46.09,3,2,9
24,-46.26,3,2,9
25,-46.3,3,2,9
26,-46.2,3,2,9
27,-46.32,4,2,8
28,-46.3,4,2,8
29,-46.27,4,2,8
30,-46.03,4,2,8
31,-46.19,4,1,9
32,-46.26,5,1,8
33,-46.2,4,1,9
34,-46.1,4,1,9
35,-45.93,4,1,9
36,-45.97,4,1,9
37,-45.83,3,1,10
38,-45.84,4,1,9
39,-45.79,4,1,9
40,-45.54,4,1,9
41,-45.45,4,2,8
42,-45.08,6,2,6
43,-44.83,5,2,7
44,-44.87,3,2,9
45,-44.79,4,2,8
46,-44.76,5,2,7
47,-44.99,4,2,8
48,-45.11,4,3,7
49,-45.32,4,2,8
50,-45.1,3,3,8
